id, position_x, position_y, position_z, pressure, acceleration_0, acceleration_1, acceleration_2, magnetic_0, magnetic_1, magnetic_2, angular_vel_0, angular_vel_1, angular_vel_2, euler_angles_0, euler_angles_1, euler_angles_2, quaternion_0, quaternion_1, quaternion_2, quaternion_3, linear_acceleration_0, linear_acceleration_1, linear_acceleration_2, gravity_vector_0, gravity_vector_1, gravity_vector_2, temperature
0x6737,2103,5199,672,100309500,0,-33,956,147,732,-227,2,-1,0,402,2,24,15990,-215,29,-3565,-2,-7,-23,2,-25,980,33
0x694c,2089,5277,-196,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,2103,5199,672,100309250,0,-33,961,140,702,-220,0,-3,1,402,2,24,15990,-215,29,-3565,0,-6,-20,2,-25,980,33
0x694c,1979,5046,5487,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,2103,5199,672,100310750,0,-32,965,123,744,-220,1,1,-1,402,2,24,15990,-215,29,-3565,-3,-7,-15,2,-25,980,33
0x694c,1979,5001,5487,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,2103,5199,672,100304500,-1,-30,967,140,715,-240,-1,-2,1,402,2,24,15990,-215,29,-3565,-4,-6,-11,2,-25,980,33
0x694c,1987,5130,5611,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,2103,5199,672,100306250,0,-33,964,136,696,-220,1,-2,-1,402,2,24,15990,-215,29,-3565,-1,-7,-15,2,-25,980,33
0x694c,2075,5221,5394,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,2103,5199,672,100304500,0,-33,954,116,702,-214,2,-3,-2,402,2,24,15990,-215,29,-3565,-2,-7,-25,2,-25,980,33
0x694c,2102,5285,5497,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,2103,5199,672,100307250,-1,-31,967,136,708,-240,1,1,2,402,2,24,15990,-215,29,-3565,-3,-5,-13,2,-25,980,33
0x694c,2075,5084,5464,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,2103,5199,672,100307250,0,-31,963,129,684,-252,1,2,255,402,2,24,15990,-215,29,-3565,-2,-6,-17,2,-25,980,33
0x694c,2032,5069,5469,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,2103,5199,672,100304250,-1,-31,967,136,696,-233,-1,0,0,402,2,24,15990,-215,29,-3565,-3,-6,-13,2,-25,980,33
0x694c,2014,5100,5535,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,2103,5199,672,100307000,0,-31,957,129,684,-227,1,-3,0,402,2,24,15990,-215,29,-3565,-2,-6,-22,2,-25,980,33
0x694c,2037,5205,5542,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,2103,5199,672,100306750,0,-32,962,129,696,-240,0,1,0,402,2,24,15990,-215,29,-3565,-2,-6,-17,2,-25,980,33
0x694c,2070,5204,5473,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,2103,5199,672,100307500,1,-33,967,129,708,-220,-4,-4,-1,402,2,24,15990,-215,29,-3565,0,-7,-13,2,-25,980,33
0x694c,2043,5126,5515,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,2103,5199,672,100304500,-2,-31,967,129,696,-233,1,-1,1,402,2,24,15990,-215,29,-3565,-4,-5,-13,2,-25,980,33
